,acousticness,album_names,artist_name,audio_mode,audio_valence,danceability,energy,instrumentalness,key,liveness,loudness,song_duration_ms,song_name,song_popularity,speechiness,tempo,time_signature,yt_max_views
8706,0.0528,Bon Jovi Greatest Hits,Bon Jovi,0.0,0.823,0.53,0.9640000000000001,4.84e-06,0.0,0.3720000000000001,-2.571,223146.0,You Give Love A Bad Name,37.0,0.0553,122.807,4.0,292000000.0
8707,0.0473,Back To Black,Amy Winehouse,1.0,0.732,0.434,0.872,1.83e-06,0.0,0.396,-2.9739999999999998,213760.0,Rehab,38.0,0.0702,71.515,4.0,271000000.0
8708,0.32799999999999996,Best Of,Vanessa Carlton,1.0,0.32,0.45399999999999996,0.8270000000000001,0.0,11.0,0.226,-3.7739999999999996,237440.0,A Thousand Miles,30.0,0.0398,94.76700000000001,4.0,283000000.0
8709,0.23199999999999998,The Beatles (Remastered),The Beatles,1.0,0.975,0.818,0.728,0.0642,10.0,0.251,-8.331,188960.0,"Ob-La-Di, Ob-La-Da - Remastered",29.0,0.0314,113.059,4.0,28000000.0
8710,0.628,Sol Empowered,Chantae Cann,0.0,0.23800000000000002,0.708,0.225,0.00471,5.0,0.131,-16.759,250427.0,Craters,51.0,0.263,92.876,4.0,59000.0
8711,0.435,Outside: From The Redwoods,Kenny Loggins,1.0,0.33399999999999996,0.5,0.40700000000000003,0.00040599999999999995,9.0,0.9790000000000001,-14.585,252066.0,What a Fool Believes - Live,51.0,0.0792,102.51299999999999,4.0,3100000.0
8712,0.18,Voodoo,Patrick Paige II,1.0,0.682,0.598,0.5539999999999999,0.0343,1.0,0.188,-7.733,222079.0,Voodoo,53.0,0.0496,78.016,4.0,271000.0
8713,0.6829999999999999,Never My Love: The Anthology,Donny Hathaway,1.0,0.69,0.4970000000000001,0.636,0.0,8.0,0.228,-8.71,204055.0,"Love, Love, Love",58.0,0.0723,93.777,4.0,627000.0
8714,0.0776,Love Me Right,Amber Mark,0.0,0.22,0.5489999999999999,0.527,2.6899999999999997e-05,5.0,0.11,-6.734,291900.0,Love Me Right,26.0,0.0448,89.97,4.0,2200000.0
8715,0.953,Innervisions,Stevie Wonder,0.0,0.14,0.478,0.2,0.000521,6.0,0.10400000000000001,-16.081,323266.0,Visions,54.0,0.037000000000000005,130.466,4.0,586000.0
8716,0.127,Black Messiah,D'Angelo,1.0,0.364,0.5720000000000001,0.61,0.0295,9.0,0.0953,-7.994,358626.0,Another Life,57.0,0.0448,71.25399999999998,4.0,1900000.0
8717,0.674,Blonde,Frank Ocean,1.0,0.5539999999999999,0.539,0.546,4.8599999999999995e-05,9.0,0.42200000000000004,-7.447999999999999,184516.0,Pink + White,15.0,0.106,159.996,3.0,17000000.0
8718,0.7659999999999999,Stronger Than Pride,Sade,0.0,0.317,0.5660000000000001,0.335,0.000366,4.0,0.0824,-12.417,258026.0,Love Is Stronger Than Pride,59.0,0.0293,87.617,4.0,3000000.0
8719,0.978,Spotify Singles,Lalah Hathaway,1.0,0.34700000000000003,0.47100000000000003,0.11699999999999999,0.0011300000000000001,11.0,0.109,-14.062999999999999,297779.0,Angel - Recorded At Spotify Studios NYC,49.0,0.0311,77.41199999999998,4.0,9500000.0
8720,0.0489,Feel The Real,Musiq Soulchild,1.0,0.237,0.5820000000000001,0.484,0.0,6.0,0.0704,-10.058,250053.0,Heaven Only Knows,53.0,0.0509,120.09899999999999,4.0,7800000.0
8721,0.0377,Passion Like Fire,Tamia,0.0,0.4,0.72,0.7659999999999999,0.0012699999999999999,5.0,0.106,-4.732,234935.0,Leave It Smokin’,51.0,0.0602,102.016,4.0,5500000.0
8722,0.527,Spotify Singles,Leon Bridges,1.0,0.247,0.634,0.433,0.0,4.0,0.069,-7.896,244213.0,Beyond - Recorded at Spotify Studios NYC,58.0,0.057999999999999996,75.961,4.0,19000000.0
8723,0.483,The Very Best Of The,The New Birth,1.0,0.507,0.46,0.358,0.0,6.0,0.0808,-11.450999999999999,389493.0,Wild Flower,51.0,0.0385,120.758,4.0,16000000.0
